url,listing_id,zipcode,monthly_rent,bedrooms,bathrooms,square_feet,walk_score,transit_score,deposit,latitude,longitude,neighborhood,nbhd
https://www.apartments.com/penn-street-tower-indianapolis-in/kegegfc/,kegegfc,46204,975,1,1,697,99,68,975,39.76902,-86.15592,Circle City,Circle City
https://www.apartments.com/stonehedge-apartments-greenwood-in/t8hfdv9/,t8hfdv9,46142,1019,1,1,695,38,0,1019,39.63348,-86.15167,Southside Indianapolis,Southside Indianapolis
https://www.apartments.com/river-west-flats-indianapolis-in/pn09lqt/,pn09lqt,46222,1029,0,1,345,17,40,1029,39.78283,-86.19071,Near Westside Indianapolis,Near Westside Indianapolis
https://www.apartments.com/cox-creek-at-reagan-crossing-indianapolis-in/szb9m37/,szb9m37,46234,1165,1,1,894,15,0,300,39.77716,-86.33725,Avon,Avon
https://www.apartments.com/north-willow-indianapolis-in/76y2dfz/,76y2dfz,46260,970,1,1,800,57,35,970,39.9133,-86.19272,St Vincent Greenbriar,St Vincent Greenbriar
https://www.apartments.com/edgewater-apartments-indianapolis-in/qpve4tw/,qpve4tw,46220,1404,1,1,900,71,39,1404,39.87811,-86.1453,Broad Ripple,Broad Ripple
https://www.apartments.com/brookhaven-at-county-line-senior-apartments-indianapolis-in/1br2kp4/,1br2kp4,46227,725,1,1,720,30,24,725,39.63722,-86.13995,Hill Valley,Hill Valley
https://www.apartments.com/timber-point-apartments-indianapolis-in/6280z5s/,6280z5s,46256,920,1,1,725,0,23,920,39.87164,-86.04246,I-69 Fall Creek,I-69 Fall Creek
https://www.apartments.com/village-at-fall-creek-indianapolis-in/l9derhg/,l9derhg,46205,600,0,1,446,38,46,600,39.82166,-86.13684,Mapleton Fall Creek,Mapleton Fall Creek
https://www.apartments.com/southern-dunes-indianapolis-in/repm8z3/,repm8z3,46217,1433,1,1,702,24,0,1433,39.66063,-86.19926,Southern Dunes,Southern Dunes
https://www.apartments.com/oak-park-indianapolis-in/ezedy1p/,ezedy1p,46227,827,0,1,450,48,31,827,39.6444,-86.12177,South Perry,South Perry
https://www.apartments.com/home-place-senior-living-indianapolis-in/4bmdw0k/,4bmdw0k,46221,800,0,1,640,12,0,700,39.6662,-86.27324,Valley Mills,Valley Mills
https://www.apartments.com/the-jameson-indianapolis-in/t6r9gz8/,t6r9gz8,46260,999,1,1,611,6,32,999,39.90289,-86.18964,St Vincent Greenbriar,St Vincent Greenbriar
https://www.apartments.com/center-point-apartments-indianapolis-in/04cdkh2/,04cdkh2,46214,1100,1,1,700,21,36,1100,39.81945,-86.27644,Eagle Creek,Eagle Creek
https://www.apartments.com/lockefield-gardens-indianapolis-in/19jndn4/,19jndn4,46202,834,1,1,536,73,49,834,39.77943,-86.17402,Circle City,Circle City
https://www.apartments.com/olivewood-indianapolis-in/rht16l1/,rht16l1,46219,650,0,1,288,37,28,650,39.79589,-86.02866,East Warren,East Warren
https://www.apartments.com/reflections-apartments-indianapolis-in/1t1re46/,1t1re46,46260,889,0,1,450,11,30,889,39.89986,-86.19112,Indianapolis,Indianapolis
https://www.apartments.com/ivy-knoll-indianapolis-in/7eltl3z/,7eltl3z,46250,1139,2,2,1195,48,32,1139,39.90423,-86.07036,Castleton,Castleton
https://www.apartments.com/the-villages-of-bent-tree-apartments-indianapolis-in/yh81mgv/,yh81mgv,46268,909,1,1,503,54,33,909,39.90706,-86.21598,Augusta,Augusta
https://www.apartments.com/5700-madison-apartments-edgewood-on-madison-indianapolis-in/c7e1s0f/,c7e1s0f,46227,665,0,1,296,50,29,665,39.68179,-86.1316,Edgewood,Edgewood
