,url,listingid,ZIP,Monthly Rent,Bedrooms,Bathrooms,Square Feet,walkScore,transitScore,Deposit,latitude,longitude,Pet,neighborhood
267,https://www.apartments.com/historic-audubon-court-indianapolis-in/pjywwws/,pjywwws,46219,"$640 - $1,200",Studio - 4 bd,1 - 1.5 ba,"410 - 1,653 sq ft",77,37,,39.77049,-86.06985,,Irvington
268,https://www.apartments.com/available-now-indianapolis-in/m06re9j/,m06re9j,46221,"$1,545",3 bd,2 ba,"1,270 sq ft",6,0,,39.67931,-86.24926,,Valley Mills
269,https://www.apartments.com/wellington-village-indianapolis-in/tpjvd9c/,tpjvd9c,46219,"$825 - $1,045",2 - 3 bd,1 - 2 ba,"1,220 - 1,340 sq ft",10,34,$350 deposit,39.79175,-86.03219,,East Warren
270,https://www.apartments.com/6417-amber-valley-ln-indianapolis-in/9e1dkn6/,9e1dkn6,46237,"$1,640",3 bd,2 ba,"1,491 sq ft",9,0,,39.675,-86.04506,,Galludet
271,https://www.apartments.com/strawbridge-green-indianapolis-in/w5vpx1h/,w5vpx1h,46237,"$910 - $1,200",2 - 3 bd,1 - 2.5 ba,"807 - 1,311 sq ft",7,26,,39.69952,-86.09752,,South Emerson
272,https://www.apartments.com/stonebridge-luxury-apartments-indianapolis-in/h3gx210/,h3gx210,46227,"$1,277 - $5,478",1 - 3 bd,1 - 2 ba,"680 - 1,300 sq ft",20,23,$700 deposit,39.6714,-86.1475,,Homecroft
273,https://www.apartments.com/wellington-square-apartments-indianapolis-in/34js65e/,34js65e,46220,$645 - $865,1 - 2 bd,1 ba,555 - 870 sq ft,87,39,,39.87245,-86.14551,,Broad Ripple
274,https://www.apartments.com/madison-lofts-indianapolis-in/zpq104w/,zpq104w,46225,"$785 - $1,324",1 - 2 bd,1 ba,583 - 929 sq ft,50,35,,39.74754,-86.15481,,Near Southside
275,https://www.apartments.com/6534-jarvis-dr-indianapolis-in/e06qf9m/,e06qf9m,46237,"$1,795",3 bd,2 ba,"1,560 sq ft",2,0,"$1,795 deposit",39.64267,-86.05306,,South Franklin
276,https://www.apartments.com/5837-ashcroft-dr-indianapolis-in/wsnjrtk/,wsnjrtk,46221,"$1,575",3 bd,2 ba,"1,244 sq ft",0,0,,39.65989,-86.26251,,West Newton
277,https://www.apartments.com/grid-indianapolis-in/v4mrscg/,v4mrscg,46204,"$1,210 - $3,805",Studio - 2 bd,1 - 2 ba,"395 - 1,240 sq ft",85,67,$250 deposit,39.76718,-86.14828,,Circle City
278,https://www.apartments.com/2315-prospect-st-indianapolis-in/x9rz90n/,x9rz90n,46203,"$1,500",2 bd,2 ba,,38,31,"$1,500 deposit",39.75222,-86.12285,,Near Southeast
279,https://www.apartments.com/2426-e-northgate-st-indianapolis-in/z0h84gy/,z0h84gy,46220,"$2,015",3 bd,1.5 ba,"2,668 sq ft",59,33,,39.86091,-86.12082,,Millersville
280,https://www.apartments.com/braeburn-village-indianapolis-in/3yrph6f/,3yrph6f,46219,"$703 - $1,243",1 - 4 bd,1 - 2.5 ba,"600 - 1,356 sq ft",38,29,,39.79708,-86.02094,,East Warren
281,https://www.apartments.com/meridian-court-south-indianapolis-in/4ezhq6j/,4ezhq6j,46217,"$615 - $1,055",1 - 2 bd,1 - 2 ba,"470 - 1,140 sq ft",9,11,,39.65922,-86.16273,,Linden Wood
